Type-Code,JCODE as Number,J-Code,GCODE as Number,G-Code,Name,Definition
pl_fi_bte_,92,J92,92,G92,plastic bait containers/packaging,"Plastic packaging (pouches, bags) and plastic containers suitable for storing, transporting, selling fishing baits."
pl_nn_cbt_,93,J93,93,G93,plastic cable ties,"A cable tie (also known as a wire tie, hose tie, steggel tie, zap strap or zip tie, and by the brand names Ty-Rap and Panduit strap) is a type of fastener, for holding items together, primarily electrical cables or wires."
pl_hy_wws_,238,J237,,,plastic wet wipes,"A small disposable synthetic cloth treated with a cleansing agent, used especially for personal hygiene."
pl_md_,,,,,plastic medical related items,Plastic medical related items.
pl_md_msk_,254,J253,,,plastic single-use face-mask,"Single-use facemask used to protect against for example dust, chemicals and pathogens (e.g., COVID-19 pandemic)."
pl_hy_cbs_,95,J95,95,G95,plastic cotton bud sticks,"A short plastic stick with a small amount of cotton on each end that is used for cleaning, especially the ears. The cotton is usually no-longer attached. The ends are rough when touched, where the cotton was attached. This feature can be used to separate from lolly sticks."
pl_hy_stt_sant_,96,J96,96,G96,plastic sanitary towels/panty liners/backing strips,Sanitary towels/panty liners/backing strips.
pl_hy_tfr_,97,J97,97,G97,plastic toilet fresheners,"Toilet bowl fresheners, which are attached inside the toilet bowl to keep it smelling fresh."
pl_nn_,,,,,plastic undefined use,Plastic undefined use.
pl_hy_dap_,98,J98,98,G98,plastic diapers/nappies,"Basic garments for infants consisting of absorbent synthetic polymer material drawn up between the legs and fastened about the waist, used to retain urine and faeces."
pl_md_syg_,99,J99,99,G99,plastic syringes/needles,"A plastic tube with a nozzle and piston or bulb for sucking in and ejecting liquid in a thin stream, used for cleaning wounds or body cavities, or fitted with a hollow needle for injecting or withdrawing fluids. Includeds all parts of syringes found separately."
pl_nn_b&c_eoil_,,,,,plastic engine oil bottles & containers,Plastic engine oil bottles & containers
pl_md_pha_,100,J100,100,G100,plastic medical/ pharmaceuticals containers/tubes/ packaging,"A wide variety of artificial polymer packages used for the packaging of the wide variety of pharmaceutical solids, liquids, and gasses. Some of the common primary plastic packages are: blister packs, small bottles and containers, tubes, ampoules, etc."
pl_nn_bag_dogb_,101,J101,101,G101,plastic dog/pet faeces bag,A plastic bag used for picking up and removing the faeces of a dog or other pet.
pl_cl_ftw_flip_,102,J102,102,G102,plastic flip-flops,"A light sandal made of plastic, with a thong between the big and second toe."
pl_nn_idp_,,,124,G124,other hard plastic or foamed polystyrene items (identifiable),Other plastic/foamed polystyrene items (identifiable).
ru_re_bln_,125,J125,125,G125,rubber balloons,"A small, coloured, rubber sack-like object which is inflated with air and then sealed at the neck, used as a child’s toy or a decoration. Within this category any balloon ribbons, strings, plastic valves and balloon sticks that are or were attached to balloons."
ru_re_bls_,126,J126,126,G126,rubber balls,"A spherical toy ball, usually fairly small, made of elastic material which allows it to bounce against hard surfaces."
ru_cl_ftw_rubo_,127,J127,127,G127,rubber boots,A tall boot that is made of rubber and that keeps the feet and lower legs dry.
ru_vk_tyr_,,,128,G128,rubber tyres & belts,"A rubber covering, typically inflated or surrounding an inflated inner tube, placed round a wheel to form a soft contact with the road (tyre); a continuous rubber band of material used in machinery for transferring motion from one wheel to another (belt)."
ru_nn_its_,,,129,G129,rubber inner-tubes & rubber sheet,Rubber inner-tubes & rubber sheet.
me_vk_whl_,130,J130,130,G130,wheels with metal hub,A circular object that revolves on an axle and is fixed below a vehicle or other object to enable it to move easily over the ground. Includes the hub with the tyre or just the hub. 
ru_nn_bnd_,131,J131,131,G131,"rubber band (small, for kitchen/household/post use)","A thin, flexible loop that is made of rubber and used to hold things together."
