,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
194,G909,Plastic,"Foamed-plastic for insulation; yellow, pink, blue/green & spray foams 0.5cm - 2.5cm",Construction,none,none,G74,False,False,False,45
195,G91,Plastic,Biomass holder,Water Treatment,Where does it come from,none,Parent code,False,False,False,91
196,G910,Plastic,"Foamed-plastic for insulation; yellow, pink, blue/green & spray foams 2.5cm - 50cm",Construction,Where does it come from,none,G74,False,False,False,46
197,G911,Plastic,Foamed polystyrene pieces 0.5cm - 2.5 cm,Packaging,Construction,none,G81,False,True,False,117
198,G912,Plastic,Foam polystyrene; expanded beads/balls  2.5cm - 50cm,Packaging,Construction,none,G82,False,True,False,46
199,G913,Plastic,Pacifier,Personal hygiene,Where does it come from,none,G124,True,False,False,48
200,G914,Plastic,"Paperclips, clothespins, plastic utility items",Utility items,Where does it come from,none,G124,True,False,False,48
201,G915,Plastic,"Reflectors, plastic motility items",Utility items,Recreation,none,G124,True,False,False,48
202,G92,Plastic,Bait containers,Fishing,Where does it come from,,Parent code,True,False,False,
203,G922,Plastic,"Labels, bar codes",Packaging,Where does it come from,none,G124,True,True,False,48
204,G925,Plastic,"Packets: desiccant/ moisture absorbers, plastic case filled with silica",Utility items,Packaging,none,G124,True,True,False,Ospar...
205,G926,Plastic,"Chewing gum, often contains plastics",Undefined,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
206,G927,Plastic,"String trimmer line, used to cut grass, weeds, and shrubbery",Utility items,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
207,G928,Plastic,Ribbons and bows,Recreation,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
208,G93,Plastic,"Cable ties; steggel, zip, zap straps",Utility items,Construction,none,Parent code,False,True,False,48
209,G930,Plastic,Foam earplugs,Personal hygiene,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
210,G931,Plastic,"Tape-caution for barrier, police, construction etc.",Utility items,Construction,Recreation,G124,True,True,False,Ospar...
211,G932,Plastic,"Bio-beads, micro plastic for wastewater treatment, irregular shape, ridged sides < 5mm",Water Treatment,Where does it come from,Where does it come from,G91,False,False,True,Ospar...
212,G933,Plastic,"Bags, cases for accessories; glasses, electronics, incl. straps, pieces, plstc. nylon etc.",Undefined,Personal equipment,Where does it come from,G124,True,False,False,Ospar...
213,G934,Plastic,"Sandbag, plastic for flood, erosion control etc..",Construction,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
214,G935,Plastic,"Walking stick pads and pieces, often elastomeric material",Recreation,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
215,G936,Plastic,Sheeting ag. greenhouse film,Agriculture,Where does it come from,Where does it come from,G67,False,False,False,40
216,G937,Plastic,Pheromone baits for vineyards,Agriculture,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
217,G938,Plastic,"Toothpicks, dental floss plastic",Personal hygiene,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
218,G939,Plastic,"Flowers, plants plastic",Undefined,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
219,G94,Plastic,Table cloth,Utility items,Where does it come from,,Parent code,True,False,False,
220,G940,Plastic,Foamed EVA (flexible plastic) for crafts & watersports,Recreation,Where does it come from,Where does it come from,G73,True,False,False,Ospar...
221,G941,Plastic,Packaging plastic nonfood or unknown,Packaging,Where does it come from,Where does it come from,G124,False,True,False,48
222,G942,Plastic,"Plastic shavings from lathes, CNC machining",Industry,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
223,G943,Plastic,"Fencing agriculture, plastic",Agriculture,Where does it come from,Where does it come from,Parent code,False,False,False,Ospar...
224,G944,Plastic,Pellet mass from injection molding,Industry,Manufacturing,Where does it come from,G112,False,True,False,Ospar...
225,G95,Plastic,Cotton bud/swab sticks,Personal hygiene,Water Treatment,Indirect,Parent code,False,True,False,98
226,G96,Plastic,Sanitary pads /panty liners/tampons and applicators,Personal hygiene,Water Treatment,none,Parent code,False,True,False,99
227,G97,Plastic,Toilet fresheners,Personal hygiene,Where does it come from,,Parent code,True,False,False,
228,G98,Plastic,Diapers - wipes,Personal hygiene,Where does it come from,none,Parent code,True,True,False,102
229,G99,Plastic,Syringes - needles,Medical,Where does it come from,,Parent code,True,False,False,
230,G125,Rubber,Balloons and balloon sticks,Recreation,Where does it come from,Direct,Parent code,True,True,False,49
231,G126,Rubber,Balls,Recreation,Where does it come from,,Parent code,True,False,False,
232,G127,Rubber,Rubber boots,Clothing,Where does it come from,,Parent code,True,False,False,
233,G128,Rubber,Tires and belts,Vehicle,Where does it come from,,Parent code,True,False,False,
234,G129,Rubber,Inner tubes and rubber sheets,Vehicle,Where does it come from,,Parent code,True,False,False,
235,G130,Rubber,Wheels,Vehicle,Where does it come from,,Parent code,True,False,False,
236,G131,Rubber,Rubber bands,Utility items,Where does it come from,,Parent code,True,False,False,
237,G132,Rubber,Bobbers (fishing),Fishing,Where does it come from,,Parent code,True,False,False,
238,G133,Rubber,Condoms incl. packaging,Personal hygiene,Water Treatment,none,Parent code,True,True,False,97
239,G134,Rubber,Other rubber,Undefined,Where does it come from,,Parent code,True,False,False,
240,G900,Rubber,Gloves latex  personal protective equipment,Personal hygiene,Where does it come from,none,G134,True,True,False,53
241,G998,Undefined,No exposed shoreline,Where does it come from,Where does it come from,Where does it come from,Parent code,True,False,False,Ospar...
242,G211,Unidentified,"Other medical items (swabs, bandaging, adhesive plaster)",Medical,Where does it come from,none,Parent code,True,True,False,105
243,G999,Unidentified,No objects found on this survey,Undefined,Where does it come from,,Parent code,True,False,False,
244,G159,Wood,Corks,Packaging,Where does it come from,,Parent code,True,False,False,
245,G160,Wood,Pallets,Packaging,Where does it come from,,Parent code,True,False,False,
246,G161,Wood,Processed timber,Packaging,Where does it come from,none,Parent code,False,False,False,69
247,G162,Wood,Crates,Packaging,Where does it come from,,Parent code,True,False,False,
248,G163,Wood,Crab lobster pots,Fishing,Where does it come from,,Parent code,True,False,False,
249,G164,Wood,Fish boxes,Fishing,Where does it come from,,Parent code,True,False,False,
250,G165,Wood,"Ice cream sticks, toothpicks, chopsticks",Packaging,Food and drink,none,Parent code,True,True,False,72
251,G166,Wood,Paint brushes,Utility items,Where does it come from,,Parent code,True,False,False,
252,G167,Wood,Matches or fireworks,Recreation,Where does it come from,,Parent code,True,False,False,
253,G168,Wood,Wood boards,Undefined,Where does it come from,,Parent code,True,False,False,
254,G169,Wood,"Beams, dunnage",Undefined,Where does it come from,,Parent code,True,False,False,
255,G170,Wood,Wood (processed),Undefined,Where does it come from,,Parent code,True,False,False,
256,G171,Wood,Other wood < 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
257,G172,Wood,Other wood > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
258,G173,Wood,Other,Undefined,Where does it come from,,Parent code,True,False,False,
259,G916,Wood,Pencils and pieces,Utility items,Where does it come from,none,G170,True,False,False,none
