slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_name_slug,is_2020
tiger-duck-beach,Tiger duck beach,46.518256,6.582546000000001,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True
tolochenaz,Tolochenaz,46.4975095,6.4828747,Tolochenaz,1131,CH,l,Lac Léman,tolochenaz,lac-leman,True
tschilljus,Tschilljus,46.304399,7.580261999999999,Salgesch,3970,CH,r,Rhône,salgesch,rhone,True
toss_bauma_kurthe,Töss_Bauma_KurthE,47.370175700000004,8.8678249,Bauma,8494,CH,r,Töss,bauma,ti12ss,False
toss_kollbrunn_burgid,töss_kollbrunn_bürgid,47.454569799999994,8.77968,Zell,8483,CH,r,Töss,zell,ti12ss,False
toss_winterthur-2,Töss_Winterthur 2,47.478707299999996,8.7084264,Winterthur,8406,CH,r,Töss,winterthur,ti12ss,False
unterdsee_ermatingen_brunkem,unterdsee_ermatingen_brunkem,47.6726333,9.0812462,Ermatingen,8272,CH,l,Untersee,ermatingen,untersee,False
untersee_steckborn_siedlerm,untersee_steckborn_siedlerm,48.4957541,27.0742158,Selyshche,60216,CH,l,Untersee,selyshche,untersee,False
untertenzen,Untertenzen,47.11526,9.25478,Quarten,8882,CH,l,Walensee,quarten,walensee,True
urnaesch_urnaesch_meierr,urnaesch_urnaesch_meierr,47.325098600000004,9.2954188,Hundwil,9107,CH,r,Urnäsch,hundwil,urnasch,False
versoix,Versoix,46.289194,6.1705693,Versoix,1290,CH,l,Lac Léman,versoix,lac-leman,True
veveyse,Veveyse,46.461022,6.834983,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,False
vidy,Vidy,46.5147155,6.598588400000001,Lausanne,1007,CH,l,Lac Léman,lausanne,lac-leman,False
vidy-ruines,Vidy ruines,46.516221,6.596278999999999,Lausanne,1007,CH,l,Lac Léman,lausanne,lac-leman,True
vierwaldstattersee_weggis_schoberls_1,vierwaldstättersee_weggis_schöberls_1,47.0445321,8.4185689,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False
vierwaldstattersee_weggis_schoberls_2,vierwaldstättersee_weggis_schöberls_2,47.043953,8.417307600000001,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False
vierwaldstattersee_weggis_schoberls_3,vierwaldstättersee_weggis_schöberls_3,47.0299566,8.410801,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False
